comment_id,text,source,date,likes,shares,word_count,year,cleaned_text,corrected_text,tokens
comment_001,Education about plastic waste is crucial #recycling,Mail Online,2020-03-17,227,44,7,2020,education about plastic waste is crucial recycling,education about plastic waste is crucial recycling,"['educ', 'plastic', 'wast', 'crucial', 'recycl']"
comment_002,More research needed on plastic alternatives,Mail Online,2019-08-18,255,141,6,2019,more research needed on plastic alternatives,more research needed on plastic alternatives,"['research', 'need', 'plastic', 'altern']"
comment_003,Microplastics are in our food and water this is terrifying,Mail Online,2019-08-02,159,120,10,2019,microplastics are in our food and water this is terrifying,microplastics are in our food and water this is terrifying,"['microplast', 'food', 'water', 'terrifi']"
comment_004,Plastic awareness campaigns are effective??,Mail Online,2021-08-08,50,40,5,2021,plastic awareness campaigns are effective,plastic awareness campaigns are effective,"['plastic', 'awar', 'campaign', 'effect']"
comment_005,@GreenPeace Young activists are leading the movement 🤔,BBC News,2020-12-16,29,136,8,2020,greenpeace young activists are leading the movement,greenpeace young activists are leading the movement,"['greenpeac', 'young', 'activist', 'lead', 'movement']"
comment_006,Microplastics are in our food and water this is terrifying 🤔 #zerowaste http://www.greenpeace.org/plastic,Guardian ,2020-05-10,252,77,13,2020,microplastics are in our food and water this is terrifying zerowaste http www greenpeace org plastic,microplastics are in our food and water this is terrifying zerowaste http www greenpeace org plastic,"['microplast', 'food', 'water', 'terrifi', 'zerowast', 'http', 'www', 'greenpeac', 'org', 'plastic']"
comment_007,Local recycling programs vary too much https://bit.ly/3plastikfacts...,Guardian ,2019-08-29,157,109,7,2019,local recycling programs vary too much bit ly plastikfacts,local recycling programs vary too much bit ly plastikfacts,"['local', 'recycl', 'program', 'vari', 'much', 'bit', 'plastikfact']"
comment_008,Plastic waste in rivers flows to oceans 😡,BBC News,2020-02-21,67,65,8,2020,plastic waste in rivers flows to oceans,plastic waste in rivers flows to oceans,"['plastic', 'wast', 'river', 'flow', 'ocean']"
comment_009,Innovations in recycling technology give hope,BBC News,2023-12-05,137,40,6,2023,innovations in recycling technology give hope,innovations in recycling technology give hope,"['innov', 'recycl', 'technolog', 'give', 'hope']"
comment_010,Marine animals suffer the most from plastic!!!,Mail Online,2018-07-28,120,67,7,2018,marine animals suffer the most from plastic,marine animals suffer the most from plastic,"['marin', 'anim', 'suffer', 'plastic']"
